dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema_1,table_name_1,column_name_1
postgresql,def,public,user_availabilities,linkedEventId,3,uuid,,FOREIGN KEY,public,calendar_events,id
postgresql,def,public,user_flags,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,user_flags,userId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,user_flags,createdById,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,user_flags,resolvedById,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,user_flags,appealResolvedById,5,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,user_skills,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,user_skills,userId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,user_skills,skillId,3,uuid,,FOREIGN KEY,public,skills,id
postgresql,def,public,user_skills,staffId,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,user_tokens,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,user_tokens,userId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,users,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,verification_documents,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,verification_documents,userId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,verification_documents,verifiedBy,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,wallets,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,wallets,userId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,wizard_options,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,wizard_options,question_id,2,uuid,,FOREIGN KEY,public,wizard_questions,id
postgresql,def,public,wizard_questions,id,1,uuid,,PRIMARY KEY,,,
